cohort,image,n_gt,probe_area,hit300_full,full_conf,full_rank,masked_conf,masked_rank,dconf
sparse_placebo,0000276_04801_d_0000531,10,575.0,1,0.8568,2,0.8593,0,0.0026
sparse_placebo,0000276_04801_d_0000531,10,35696.0,1,0.9333,0,0.9307,0,-0.0025
sparse_placebo,0000276_04801_d_0000531,10,190.0,1,0.3443,9,0.3299,1,-0.0144
sparse_placebo,0000276_04801_d_0000531,10,144.0,1,0.7391,3,0.5583,0,-0.1809
sparse_placebo,0000276_04801_d_0000531,10,66.0,1,0.504,6,0.3744,1,-0.1295
sparse_placebo,0000276_04801_d_0000531,10,2006.0,1,0.8653,1,0.8264,1,-0.0389
sparse_placebo,0000276_04601_d_0000530,10,288.0,1,0.1627,10,0.0,-1,-0.1627
sparse_placebo,0000276_04601_d_0000530,10,342.0,1,0.8541,2,0.8562,0,0.0021
sparse_placebo,0000276_04601_d_0000530,10,272.0,1,0.7503,4,0.691,0,-0.0593
sparse_placebo,0000276_04601_d_0000530,10,432.0,1,0.3372,6,0.0,-1,-0.3372
sparse_placebo,0000276_04601_d_0000530,10,9702.0,1,0.9386,0,0.9481,0,0.0095
sparse_placebo,0000276_04601_d_0000530,10,60.0,1,0.3179,8,0.1943,1,-0.1236
sparse_placebo,0000276_04601_d_0000530,10,40.0,1,0.003,62,0.0255,0,0.0225
sparse_placebo,0000276_04601_d_0000530,10,342.0,1,0.4773,5,0.4585,0,-0.0188
sparse_placebo,0000276_04601_d_0000530,10,380.0,1,0.7608,3,0.4814,1,-0.2794
sparse_placebo,0000276_04601_d_0000530,10,8946.0,1,0.9014,1,0.7959,1,-0.1055
sparse_placebo,0000103_02964_d_0000030,10,85412.0,1,0.7769,0,0.7484,0,-0.0285
sparse_placebo,0000103_02964_d_0000030,10,19352.0,1,0.1023,14,0.2708,1,0.1685
sparse_placebo,0000103_02964_d_0000030,10,15232.0,1,0.0572,30,0.005,11,-0.0522
sparse_placebo,0000103_02964_d_0000030,10,37412.0,1,0.3319,5,0.2405,4,-0.0914
sparse_placebo,0000103_02964_d_0000030,10,25137.0,1,0.3195,6,0.4749,2,0.1554
sparse_placebo,0000103_02964_d_0000030,10,20088.0,1,0.3195,6,0.4701,1,0.1506
sparse_placebo,0000103_02964_d_0000030,10,20125.0,1,0.6615,2,0.3314,1,-0.3301
sparse_placebo,0000103_02964_d_0000030,10,138012.0,1,0.2708,9,0.5716,1,0.3008
sparse_placebo,0000103_02964_d_0000030,10,25894.0,1,0.55,3,0.2281,3,-0.3219
sparse_placebo,0000103_02964_d_0000030,10,24192.0,1,0.1868,11,0.1459,2,-0.0409
sparse_placebo,0000026_01500_d_0000027,10,26550.0,1,0.9455,0,0.9518,0,0.0063
sparse_placebo,0000026_01500_d_0000027,10,19425.0,1,0.8976,8,0.9145,1,0.0169
sparse_placebo,0000026_01500_d_0000027,10,22374.0,1,0.9064,7,0.9116,1,0.0052
sparse_placebo,0000026_01500_d_0000027,10,16335.0,1,0.9217,5,0.9262,1,0.0046
sparse_placebo,0000026_01500_d_0000027,10,33425.0,1,0.9271,3,0.9355,0,0.0085
sparse_placebo,0000026_01500_d_0000027,10,16590.0,1,0.9344,1,0.9274,1,-0.007
sparse_placebo,0000026_01500_d_0000027,10,25515.0,1,0.9073,6,0.8864,1,-0.021
sparse_placebo,0000026_01500_d_0000027,10,1176.0,1,0.5192,10,0.0027,0,-0.5165
sparse_placebo,0000026_01500_d_0000027,10,16498.0,1,0.9293,2,0.9311,1,0.0018
sparse_placebo,0000026_01500_d_0000027,10,13272.0,1,0.9256,4,0.9259,0,0.0003
sparse_placebo,0000024_00500_d_0000013,10,3034.0,1,0.6458,3,0.4703,0,-0.1755
sparse_placebo,0000024_00500_d_0000013,10,1320.0,1,0.4271,5,0.4466,2,0.0196
sparse_placebo,0000024_00500_d_0000013,10,1428.0,1,0.2357,8,0.0051,37,-0.2306
sparse_placebo,0000024_00500_d_0000013,10,3060.0,1,0.7866,2,0.7421,1,-0.0445
sparse_placebo,0000024_00500_d_0000013,10,544.0,1,0.0054,54,0.0101,13,0.0047
sparse_placebo,0000024_00500_d_0000013,10,3330.0,1,0.8818,0,0.8604,0,-0.0214
sparse_placebo,0000024_00500_d_0000013,10,1118.0,1,0.0363,19,0.0552,6,0.0188
sparse_placebo,0000024_00500_d_0000013,10,1242.0,1,0.5151,4,0.7007,0,0.1856
sparse_placebo,0000024_00500_d_0000013,10,1457.0,1,0.5151,4,0.6496,1,0.1345
sparse_placebo,0000024_00500_d_0000013,10,2610.0,1,0.8233,1,0.7714,0,-0.0519
sparse_placebo,0000316_01801_d_0000528,11,12672.0,1,0.6967,8,0.7369,1,0.0402
sparse_placebo,0000316_01801_d_0000528,11,1764.0,1,0.7811,6,0.6798,0,-0.1012
sparse_placebo,0000316_01801_d_0000528,11,18396.0,1,0.9394,0,0.9346,0,-0.0048
sparse_placebo,0000316_01801_d_0000528,11,1075.0,1,0.8634,3,0.8577,0,-0.0057
sparse_placebo,0000316_01801_d_0000528,11,799.0,1,0.8488,4,0.854,0,0.0052
sparse_placebo,0000316_01801_d_0000528,11,2430.0,1,0.8981,2,0.8934,0,-0.0047
sparse_placebo,0000316_01801_d_0000528,11,1794.0,1,0.0796,18,0.0189,0,-0.0607
sparse_placebo,0000316_01801_d_0000528,11,1640.0,1,0.3273,10,0.0858,1,-0.2415
sparse_placebo,0000316_01801_d_0000528,11,1911.0,1,0.761,7,0.6522,1,-0.1089
sparse_placebo,0000316_01801_d_0000528,11,4992.0,1,0.9166,1,0.8932,0,-0.0235
sparse_placebo,0000316_01801_d_0000528,11,2116.0,1,0.8303,5,0.7135,0,-0.1167
sparse_placebo,0000076_02142_d_0000009,11,2714.0,1,0.9328,2,0.9282,1,-0.0046
sparse_placebo,0000076_02142_d_0000009,11,341.0,1,0.8046,5,0.7643,0,-0.0404
sparse_placebo,0000076_02142_d_0000009,11,126.0,1,0.0495,15,0.0801,0,0.0306
sparse_placebo,0000076_02142_d_0000009,11,11640.0,1,0.0673,14,0.0328,4,-0.0345
sparse_placebo,0000076_02142_d_0000009,11,756.0,1,0.7259,7,0.6692,0,-0.0567
sparse_placebo,0000076_02142_d_0000009,11,8680.0,1,0.9381,1,0.9383,1,0.0002
sparse_placebo,0000076_02142_d_0000009,11,480.0,1,0.8029,6,0.8147,0,0.0118
sparse_placebo,0000076_02142_d_0000009,11,31354.0,1,0.8098,4,0.8414,2,0.0316
sparse_placebo,0000076_02142_d_0000009,11,12915.0,1,0.9242,3,0.931,0,0.0067
sparse_placebo,0000076_02142_d_0000009,11,5096.0,1,0.9469,0,0.9468,0,-0.0002
sparse_placebo,0000076_02142_d_0000009,11,2135.0,1,0.5664,8,0.6106,0,0.0442
sparse_placebo,0000359_01373_d_0000706,12,35316.0,1,0.9358,1,0.9364,0,0.0007
sparse_placebo,0000359_01373_d_0000706,12,2336.0,1,0.7586,7,0.5604,1,-0.1982
sparse_placebo,0000359_01373_d_0000706,12,3045.0,1,0.8322,6,0.8476,0,0.0154
sparse_placebo,0000359_01373_d_0000706,12,58880.0,1,0.9331,2,0.94,0,0.0068
sparse_placebo,0000359_01373_d_0000706,12,9936.0,1,0.7105,8,0.65,2,-0.0605
sparse_placebo,0000359_01373_d_0000706,12,7740.0,1,0.9134,4,0.9184,0,0.0049
sparse_placebo,0000359_01373_d_0000706,12,2150.0,1,0.4461,11,0.3257,3,-0.1204
sparse_placebo,0000359_01373_d_0000706,12,4046.0,1,0.6019,10,0.5863,0,-0.0156
sparse_placebo,0000359_01373_d_0000706,12,5625.0,1,0.8665,5,0.8303,1,-0.0363
sparse_placebo,0000359_01373_d_0000706,12,1771.0,1,0.4461,11,0.0959,7,-0.3502
sparse_placebo,0000359_01373_d_0000706,12,33078.0,1,0.9372,0,0.9393,0,0.0022
sparse_placebo,0000359_01373_d_0000706,12,14616.0,1,0.9196,3,0.9206,0,0.001
sparse_placebo,0000242_06452_d_0000018,12,896.0,1,0.6449,4,0.5951,0,-0.0497
sparse_placebo,0000242_06452_d_0000018,12,1435.0,1,0.8931,0,0.9051,0,0.012
sparse_placebo,0000242_06452_d_0000018,12,60.0,1,0.3371,9,0.4793,1,0.1422
sparse_placebo,0000242_06452_d_0000018,12,780.0,1,0.5848,6,0.3541,2,-0.2308
sparse_placebo,0000242_06452_d_0000018,12,220.0,1,0.1276,21,0.3366,0,0.209
sparse_placebo,0000242_06452_d_0000018,12,336.0,1,0.5097,7,0.4908,2,-0.0189
sparse_placebo,0000242_06452_d_0000018,12,408.0,1,0.7326,2,0.726,0,-0.0066
sparse_placebo,0000242_06452_d_0000018,12,1591.0,1,0.8869,1,0.8395,0,-0.0474
sparse_placebo,0000242_06452_d_0000018,12,255.0,1,0.1946,14,0.051,10,-0.1436
sparse_placebo,0000242_06452_d_0000018,12,434.0,1,0.7275,3,0.7072,0,-0.0203
sparse_placebo,0000242_06452_d_0000018,12,475.0,1,0.4278,8,0.8461,0,0.4183
sparse_placebo,0000242_06452_d_0000018,12,870.0,1,0.0434,33,0.3603,1,0.3169
sparse_placebo,0000024_01000_d_0000014,12,40.0,0,0.0,-1,0.0034,36,0.0034
sparse_placebo,0000024_01000_d_0000014,12,36.0,0,0.0,-1,0.0,-1,0.0
sparse_placebo,0000024_01000_d_0000014,12,784.0,1,0.5042,2,0.6742,1,0.17
sparse_placebo,0000024_01000_d_0000014,12,96.0,1,0.0419,30,0.0164,2,-0.0254
sparse_placebo,0000024_01000_d_0000014,12,99.0,1,0.0325,35,0.0153,3,-0.0172
sparse_placebo,0000024_01000_d_0000014,12,140.0,1,0.0472,27,0.0066,6,-0.0406
sparse_placebo,0000024_01000_d_0000014,12,396.0,1,0.0673,21,0.012,5,-0.0554
sparse_placebo,0000024_01000_d_0000014,12,248.0,1,0.1402,12,0.0624,1,-0.0778
sparse_placebo,0000024_01000_d_0000014,12,816.0,1,0.7062,1,0.7479,1,0.0417
sparse_placebo,0000024_01000_d_0000014,12,210.0,1,0.1873,7,0.2106,0,0.0234
sparse_placebo,0000024_01000_d_0000014,12,936.0,1,0.7333,0,0.7817,0,0.0484
sparse_placebo,0000024_01000_d_0000014,12,24.0,1,0.0118,69,0.0376,0,0.0258
sparse_placebo,0000022_01251_d_0000007,12,1311.0,1,0.5703,3,0.6144,0,0.0441
sparse_placebo,0000022_01251_d_0000007,12,1140.0,1,0.0042,120,0.0145,14,0.0103
sparse_placebo,0000022_01251_d_0000007,12,3003.0,1,0.9021,0,0.9102,0,0.0081
sparse_placebo,0000022_01251_d_0000007,12,4212.0,1,0.5529,4,0.4752,3,-0.0777
sparse_placebo,0000022_01251_d_0000007,12,2304.0,1,0.368,10,0.4949,2,0.1269
sparse_placebo,0000022_01251_d_0000007,12,1530.0,1,0.4248,8,0.3888,1,-0.036
sparse_placebo,0000022_01251_d_0000007,12,2967.0,1,0.5703,3,0.5825,0,0.0122
sparse_placebo,0000022_01251_d_0000007,12,3960.0,1,0.6087,2,0.5478,0,-0.0609
sparse_placebo,0000022_01251_d_0000007,12,4644.0,1,0.4224,9,0.6136,0,0.1912
sparse_placebo,0000022_01251_d_0000007,12,3696.0,1,0.8474,1,0.8547,2,0.0073
sparse_placebo,0000022_01251_d_0000007,12,1566.0,1,0.5003,5,0.5283,0,0.028
sparse_placebo,0000022_01251_d_0000007,12,4539.0,1,0.8474,1,0.8578,1,0.0104
sparse_placebo,0000359_03333_d_0000711,13,1035.0,1,0.6843,3,0.6024,1,-0.0819
sparse_placebo,0000359_03333_d_0000711,13,1204.0,1,0.5685,7,0.2992,3,-0.2693
sparse_placebo,0000359_03333_d_0000711,13,208.0,1,0.3758,11,0.4125,0,0.0366
sparse_placebo,0000359_03333_d_0000711,13,100.0,1,0.3905,10,0.3291,0,-0.0614
sparse_placebo,0000359_03333_d_0000711,13,1035.0,1,0.4808,8,0.6108,1,0.1301
sparse_placebo,0000359_03333_d_0000711,13,1288.0,1,0.4224,9,0.6441,0,0.2217
sparse_placebo,0000359_03333_d_0000711,13,1035.0,1,0.6742,4,0.582,2,-0.0922
sparse_placebo,0000359_03333_d_0000711,13,5952.0,1,0.9086,0,0.9146,0,0.006
sparse_placebo,0000359_03333_d_0000711,13,1218.0,1,0.8471,1,0.8361,0,-0.011
sparse_placebo,0000359_03333_d_0000711,13,4560.0,1,0.6541,5,0.4554,1,-0.1986
sparse_placebo,0000359_03333_d_0000711,13,1836.0,1,0.2928,13,0.7088,0,0.4161
sparse_placebo,0000359_03333_d_0000711,13,1271.0,1,0.6843,3,0.5927,1,-0.0916
sparse_placebo,0000359_03333_d_0000711,13,1102.0,1,0.7545,2,0.7619,1,0.0074
